 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
148,3573,127.591,18.633,123,56,182,239.078,82.028,55.460,85.771,0.786,88.091,455881,126,-0.007,0.126,455881,233,59,102,87.397,59.680,1.479,0.676,0.940
149,1982,126.693,16.774,125,82,170,178.953,68.326,36.934,88.601,0.778,67.742,251106,126,0.064,-0.441,251106,235,60,108,81.511,37.000,1.850,0.541,0.960
150,1945,124.607,14.717,125,77,163,168.752,56.132,44.118,92.965,0.858,58.249,242361,125,-0.129,0.207,242361,236,56,185,101.889,45.354,1.272,0.786,0.959
151,1989,127.746,14.959,127,87,168,170.167,56.485,44.835,90.352,0.863,58.464,254087,128,4.868E-4,-0.027,254087,237,54,74,77.152,46.480,1.260,0.794,0.963
152,2189,124.869,20.968,122,68,168,180.066,58.173,47.911,88.875,0.848,59.034,273339,124,-0.180,-0.511,273339,238,59,179,79.261,49.085,1.214,0.824,0.953
153,2400,125.157,13.322,122,81,160,193.095,72.598,42.092,91.068,0.809,73.682,300377,126,-0.084,-0.053,300377,239,59,151,97.800,42.000,1.725,0.580,0.972
154,2584,126.710,19.074,127,67,173,202.309,69.301,47.474,89.873,0.793,71.449,327418,126,-0.085,-0.126,327418,241,61,144,83.571,50.066,1.460,0.685,0.938
155,2151,124.823,15.204,129,75,166,187.924,70.980,38.585,91.229,0.765,71.253,268494,124,0.143,0.268,268494,242,59,232,85.170,39.000,1.840,0.544,0.952
156,2775,125.368,16.916,127,72,165,204.066,70.573,50.065,91.563,0.837,72.691,347895,125,-0.041,-0.232,347895,244,57,201,82.093,51.644,1.410,0.709,0.962
157,2879,123.800,21.214,120,63,169,207.480,65.988,55.550,91.369,0.840,67.365,356419,123,-0.078,-0.645,356419,246,62,162,95.964,57.000,1.188,0.842,0.959
158,2543,124.796,16.591,121,71,167,198.995,72.106,44.904,89.933,0.807,72.691,317355,124,-0.061,0.225,317355,248,59,155,97.907,45.992,1.606,0.623,0.963
159,2087,126.871,20.736,123,70,173,176.995,57.853,45.931,90.313,0.837,59.775,264780,125,-0.061,-0.529,264780,251,56,53,107.526,47.434,1.260,0.794,0.949
160,2894,128.020,12.884,132,84,164,208.167,75.102,49.064,87.662,0.839,75.326,370490,128,0.107,-0.148,370490,252,57,101,84.668,49.000,1.531,0.653,0.972
