 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
215,3291,101.676,12.198,106,47,153,228.752,82.076,51.053,86.837,0.790,81.597,334616,102,-0.189,0.786,334616,306,50,179,70.677,49.976,1.608,0.622,0.965
216,1806,100.779,9.611,106,64,122,162.853,57.958,39.675,88.598,0.856,59.414,182007,103,-0.766,0.331,182007,307,59,174,83.234,40.000,1.461,0.685,0.965
217,2696,100.844,10.939,106,59,129,202.309,72.057,47.638,93.524,0.828,75.240,271876,103,-0.902,0.812,271876,309,64,108,94.574,48.649,1.513,0.661,0.967
218,2476,103.881,8.899,106,65,127,193.924,72.722,43.350,89.783,0.827,72.993,257210,105,-0.762,0.874,257210,311,55,119,80.538,43.000,1.678,0.596,0.972
219,1414,99.027,9.607,102,58,124,143.782,51.503,34.956,90.382,0.860,52.612,140024,100,-0.839,0.945,140024,312,61,239,81.254,35.000,1.473,0.679,0.965
220,1415,100.353,9.483,106,63,125,142.953,51.130,35.236,89.540,0.870,52.240,141999,101,-0.733,0.613,141999,313,60,76,84.508,35.000,1.451,0.689,0.966
221,2175,100.632,10.191,106,64,137,184.267,70.457,39.305,89.636,0.805,70.576,218875,102,-0.418,0.425,218875,314,60,223,82.674,39.945,1.793,0.558,0.966
222,1983,101.899,9.232,106,67,124,187.681,74.197,34.029,89.250,0.707,75.326,202065,104,-0.876,0.680,202065,316,61,185,84.668,35.000,2.180,0.459,0.960
223,2408,101.582,9.972,106,60,125,192.167,72.033,42.564,89.686,0.819,73.246,244610,103,-0.848,0.842,244610,317,62,87,94.699,43.000,1.692,0.591,0.969
224,2416,100.915,10.542,106,55,132,189.924,67.928,45.285,89.740,0.842,68.593,243810,102,-0.342,0.078,243810,318,61,128,97.539,45.000,1.500,0.667,0.969
225,1317,100.952,9.670,106,70,127,139.882,51.500,32.561,88.701,0.846,51.788,132954,102,-0.511,-0.125,132954,319,63,58,100.008,32.000,1.582,0.632,0.965
226,3194,103.229,10.195,106,57,130,224.551,84.414,48.176,88.231,0.796,85.288,329714,105,-0.893,1.342,329714,320,57,152,85.292,49.000,1.752,0.571,0.965
227,1625,100.285,12.173,106,57,130,153.782,54.957,37.648,87.709,0.863,55.731,162963,102,-0.630,0.522,162963,322,56,100,80.707,38.000,1.460,0.685,0.965
228,1821,100.136,9.608,102,67,136,166.267,61.467,37.720,92.358,0.828,63.071,182348,101,-0.337,0.552,182348,324,62,162,92.726,38.000,1.630,0.614,0.964
229,719,104.006,9.394,107,74,130,133.539,36.546,25.049,47.037,0.507,49.204,74780,104,-0.128,-0.079,74780,326,58,239,52.431,33.034,1.459,0.685,0.767
230,1884,102.064,10.435,103,63,133,174.167,62.362,38.465,91.250,0.780,66.483,192288,103,-0.324,0.478,192288,329,60,33,96.911,39.000,1.621,0.617,0.959
231,1598,99.875,9.756,104,57,123,154.368,56.347,36.109,86.057,0.843,57.428,159601,102,-1.105,1.862,159601,330,63,241,82.999,36.000,1.560,0.641,0.965
232,2196,102.404,9.503,106,73,128,178.267,61.585,45.401,90.329,0.868,62.394,224880,103,-0.500,0.152,224880,332,59,54,96.442,45.000,1.356,0.737,0.971
233,2513,101.171,11.671,106,59,129,192.752,69.012,46.364,91.917,0.850,70.036,254243,103,-0.935,0.689,254243,334,60,57,99.866,47.000,1.488,0.672,0.969
234,1630,101.781,10.022,104,69,128,154.267,52.992,39.164,87.942,0.861,54.589,165903,103,-0.615,0.114,165903,336,56,97,81.573,40.000,1.353,0.739,0.962
235,2134,101.325,8.978,106,62,128,177.338,63.472,42.808,89.912,0.853,64.938,216228,103,-0.730,0.620,216228,337,62,175,99.752,43.000,1.483,0.674,0.969
236,2145,102.545,8.731,106,68,126,178.752,63.461,43.036,90.205,0.844,65.123,219959,104,-0.669,0.534,219959,338,64,16,93.521,43.000,1.475,0.678,0.966
237,1682,101.599,11.180,104,66,137,161.439,58.604,36.543,90.741,0.811,61.814,170890,102,-0.180,-0.002,170890,339,58,128,80.690,37.000,1.604,0.624,0.961
238,2404,101.640,9.066,106,61,126,191.338,70.374,43.494,91.401,0.825,71.253,244342,103,-0.670,0.508,244342,341,60,167,85.170,43.910,1.618,0.618,0.968
239,1991,101.320,9.642,106,63,123,174.610,65.328,38.804,89.002,0.821,65.115,201729,103,-0.641,0.300,201729,342,59,173,79.380,39.000,1.684,0.594,0.969
240,2436,101.478,8.441,102,69,127,194.752,74.077,41.870,88.890,0.807,75.240,247201,102,-0.256,0.331,247201,343,63,114,94.574,42.000,1.769,0.565,0.970
241,1433,100.484,10.148,106,63,126,141.539,47.462,38.442,86.391,0.899,48.508,143994,102,-0.841,0.635,143994,344,62,109,98.297,38.000,1.235,0.810,0.967
242,2794,101.879,9.045,106,71,129,212.995,78.086,45.558,90.212,0.774,79.511,284650,103,-0.486,0.165,284650,345,56,139,96.499,46.000,1.714,0.583,0.964
243,1820,102.350,10.639,106,56,137,166.853,59.484,38.957,90.053,0.822,61.522,186277,103,-0.504,0.673,186277,347,57,76,97.472,40.000,1.527,0.655,0.958
244,1791,101.853,9.521,104,66,126,162.267,57.633,39.567,92.760,0.855,59.135,182418,103,-0.533,0.093,182418,348,61,111,86.121,40.000,1.457,0.687,0.965
245,1339,98.660,9.570,102,67,119,139.539,49.311,34.574,90.735,0.864,50.249,132106,100,-0.631,0.013,132106,349,63,187,95.711,35.000,1.426,0.701,0.960
246,2037,102.678,9.511,106,66,128,175.924,62.724,41.349,90.402,0.827,63.953,209155,104,-0.705,0.581,209155,351,59,95,80.096,43.848,1.517,0.659,0.960
247,2688,101.298,9.018,106,65,127,207.338,79.177,43.225,90.440,0.786,79.762,272290,102,-0.635,0.680,272290,352,59,229,82.073,43.000,1.832,0.546,0.970
248,2934,103.239,10.294,106,64,129,213.238,79.467,47.009,89.353,0.811,80.156,302902,105,-0.876,0.919,302902,354,61,54,93.576,48.000,1.690,0.592,0.970
249,4544,102.897,9.089,106,65,133,266.693,97.926,59.081,87.640,0.803,99.126,467563,103,-0.221,0.388,467563,355,57,221,87.109,60.000,1.657,0.603,0.974
250,2139,102.263,8.809,106,72,127,226.409,88.914,30.630,89.544,0.524,98.082,218740,104,-0.673,0.246,218740,358,64,2,92.337,33.000,2.903,0.344,0.933
251,1931,100.417,9.582,106,67,129,171.439,64.854,37.910,88.694,0.826,65.490,193905,102,-0.621,0.284,193905,359,61,223,82.983,38.000,1.711,0.585,0.970
252,2065,102.085,8.943,106,72,128,174.368,65.558,40.105,88.566,0.853,64.938,210805,104,-0.673,0.192,210805,363,54,126,80.248,39.000,1.635,0.612,0.974
253,3399,102.154,8.544,106,70,128,233.723,88.395,48.959,91.085,0.782,89.359,347221,103,-0.399,0.246,347221,365,61,201,84.864,49.000,1.805,0.554,0.972
254,3159,102.323,10.616,104,50,133,227.966,86.019,46.759,88.174,0.764,89.560,323237,103,-0.475,1.212,323237,366,56,232,83.589,47.000,1.840,0.544,0.971
255,1619,99.340,10.733,102,38,124,155.782,56.226,36.662,87.575,0.838,56.719,160831,101,-0.708,0.939,160831,368,58,183,99.130,38.000,1.534,0.652,0.962
